05:19:47 INFO  fir_decimate.c:119: Config succesfully loaded from daq_chain_config.ini
05:19:47 INFO  fir_decimate.c:120: Channel number: 9
05:20:06 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[34]
05:20:06 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[35]
05:20:06 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[35]
05:20:07 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[36]
05:20:07 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[36]
05:20:07 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[37]
05:20:07 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[37]
05:20:07 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[38]
05:20:07 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[38]
05:20:07 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[39]
05:20:07 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[39]
05:20:07 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[40]
05:20:07 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[40]
05:20:08 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[41]
05:20:08 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[41]
05:20:08 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[42]
05:20:08 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[42]
05:20:08 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[43]
05:20:08 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[43]
05:20:09 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[44]
05:20:09 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[44]
05:20:09 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[45]
05:20:09 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[45]
05:20:09 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[46]
05:20:09 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[46]
05:20:09 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[47]
05:20:09 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[47]
05:20:10 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[48]
05:20:10 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[48]
05:20:10 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[49]
05:20:10 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[49]
05:20:10 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[50]
05:20:10 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[50]
05:20:10 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[51]
05:20:10 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[51]
05:20:11 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[52]
05:20:11 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[52]
